ID	タイトル	コアメカニクス	カテゴリ	工数
054	FruitSlash	飛んでくるフルーツをスワイプで切り爆弾は回避する	casual	S
055	DustSweep	画面の砂埃をスワイプで一掃する爽快クリーニングゲーム	casual	S
056	InflateFloat	風船を膨らませ障害物をかわしながら空を飛ぶ	casual	S
057	CandyDrop	落下するキャンディを積み上げる物理パズル	casual	S
058	ThreadNeedle	揺れる針穴に糸を通すような精密タップゲーム	casual	S
059	WaterJug	ジャグを傾けて指定量の水を正確に計る操作ゲーム	casual	S
060	MeltIce	太陽光を鏡で反射させて的の氷を溶かすカジュアルゲーム	casual	S
061	CookieFactory	クッキーを焼いて工場を拡大するクリッカー	idle	M
062	MagicForest	木をタップして育て森を広げる放置育成	idle	M
063	StarMiner	星を採掘して宇宙船をアップグレードする放置ゲーム	idle	M
064	AquaCity	水中都市を建設して魚を集める放置シム	idle	L
065	SpellBrewery	魔法の材料を自動収集してポーションを醸造する	idle	M
066	RoboFactory	ロボットが自動で資源を集めて都市を建設する	idle	M
067	TapDojo	道場でひたすらタップ修行して武道家を最強へ育てる	idle	M
068	CloudFarm	雲の上の農場で野菜を育てて市場に出荷する放置農業	idle	M
069	DungeonDigger	地下を掘り続けて宝を集めるドリルクリッカー	idle	M
070	NanoLab	ナノマシンを増殖させて科学技術を段階的に進化させる	idle	L
071	BeatTiles	落ちてくるタイルをリズムに合わせてタップするリズムゲーム	rhythm	M
072	DrumKit	画面上のドラムセットをタップして演奏する楽器ゲーム	rhythm	S
073	MelodyMaze	音符を繋げてメロディを完成させる音楽パズル	rhythm	M
074	NoteRain	降ってくる音符を正確にキャッチして演奏を完成させる	rhythm	M
075	SoundGarden	植物をタップして育てると音楽が生まれるインタラクティブアート	rhythm	M
076	ChordCatch	和音を聞き取り対応するボタンを素早くタップする	rhythm	M
077	BeatRunner	BGMのビートに合わせてジャンプするリズムランゲーム	rhythm	M
078	EchoBack	再生された音楽パターンを正確に再現する音楽記憶ゲーム	rhythm	S
079	SilentBeat	無音の画面でリズムを感じ取り正確なタイミングでタップ	rhythm	S
080	FreqFight	周波数（音程）を合わせると敵にダメージを与える音楽バトル	rhythm	L
081	PetBonsai	盆栽に水をやり枝を整えて美しい形に育てる和風育成	simulation	M
082	AquaPet	水槽の魚を育てて鑑賞する仮想アクアリウム	simulation	M
083	StarChef	星を使って宇宙レシピの料理を作るお料理育成ゲーム	simulation	M
084	GardenZen	禅の庭を自由にデザインし石と砂紋で癒やしの空間を作る	simulation	M
085	MechPet	メカのパーツを組み合わせて独自のロボットペットを育てる	simulation	L
086	CityBonsai	盆栽の中に小さな都市を育てる箱庭シミュレーション	simulation	L
087	DreamCatcher	夢の破片を集めて自分だけの夢の世界を構築する	simulation	L
088	AlchemyPet	錬金術で素材を変換してユニークなペットを生み出す	simulation	L
089	IslandHop	孤島を次々と開拓してリゾートアイランドを完成させる	simulation	M
090	StarshipCrew	宇宙船クルーを育成して銀河探検ミッションをこなす	simulation	L
091	TimeBlender	過去と未来を自由に切り替えて謎を解くタイムトラベルパズル	unique	L
092	MirrorWorld	画面上下が鏡像になっており逆向きに操作するギミックゲーム	unique	M
093	ColorPerception	色覚の違いをテーマにした視点切替パズル	unique	M
094	GravityPainter	重力方向を変えながら絵の具が流れて絵が完成するアート体験	unique	M
095	SilentWorld	音が存在しない世界で視覚だけを頼りに進む実験的アドベンチャー	unique	L
096	DualControl	2つのキャラを同時に別々に操作する二刀流アクション	unique	M
097	PixelEvolution	ピクセルが世代を経るごとに進化して複雑な生命体になるシム	unique	L
098	InfiniteLoop	同じループを繰り返す世界に気づき脱出するメタゲーム	unique	L
099	TouchMemory	タッチした順番を記憶して同じパターンを再現するメモリーゲーム	unique	S
100	DreamRun	シュールな夢の中を走り続けるナラティブランゲーム	unique	M
